sample#;AD1;AD2;RSSIrx;RSSItx
885;248;0;83;83
886;248;0;81;81
887;248;0;80;81
888;248;0;78;80
889;248;0;82;81
890;248;0;80;81
891;248;0;82;81
892;248;0;79;82
893;248;0;83;82
894;248;0;83;83
895;248;0;87;84
896;248;0;87;84
897;248;0;89;85
898;248;0;88;85
899;248;0;88;86
900;248;0;87;87
901;248;0;89;87
902;248;0;90;88
903;248;0;91;88
904;248;0;90;88
905;248;0;89;89
906;248;0;89;89
907;248;0;92;89
908;248;0;92;89
909;248;0;89;89
910;248;0;87;88
911;248;0;88;89
912;248;0;89;89
913;248;0;89;89
914;248;0;88;89
915;248;0;89;89
916;248;0;90;89
917;248;0;91;89
918;248;0;91;90
919;248;0;92;90
920;248;0;92;90
921;248;0;92;90
922;248;0;91;90
923;248;0;91;91
924;248;0;92;91
925;248;0;93;91
926;248;0;93;92
927;248;0;93;92
928;248;0;92;92
929;248;0;91;91
930;248;0;89;91
931;248;0;89;90
932;248;0;88;90
933;248;0;86;88
934;248;0;84;87
935;248;0;84;87
936;248;0;86;86
937;248;0;88;87
938;248;0;88;86
939;248;0;87;86
940;248;0;86;86
941;248;0;84;85
942;248;0;85;85
943;248;0;87;85
944;248;0;90;85
945;248;0;90;86
946;248;0;89;86
947;248;0;89;87
948;248;0;91;87
949;248;0;92;89
950;248;0;91;89
951;248;0;85;90
952;248;0;85;90
953;248;0;91;91
954;248;0;96;91
955;248;0;96;92
956;248;0;96;93
957;248;0;95;93
958;248;0;93;93
959;248;0;91;93
960;248;0;89;93
961;248;0;90;91
962;248;0;90;90
963;248;0;90;91
964;248;0;94;91
965;248;0;94;90
966;248;0;93;90
967;248;0;88;89
968;248;0;84;88
969;248;0;84;88
970;248;0;87;89
971;248;0;92;88
972;248;0;93;88
973;248;0;94;89
974;248;0;95;90
975;248;0;97;93
976;248;0;100;96
977;248;0;103;98
978;248;0;106;100
979;248;0;107;102
980;248;0;105;103
981;248;0;97;105
982;248;0;88;107
983;248;0;87;108
984;248;0;88;108
985;248;0;88;105
986;248;0;88;101
987;248;0;87;97
988;248;0;85;94
989;248;0;81;91
990;248;0;80;88
991;248;0;78;84
992;248;0;77;80
993;248;0;76;81
994;248;0;73;82
995;248;0;73;82
996;248;0;73;82
997;248;0;74;82
998;248;0;74;82
999;248;0;75;83
1000;248;0;76;83
1001;248;0;75;84
1002;248;0;74;84
1003;248;0;71;84
1004;248;0;77;85
1005;248;0;82;84
1006;248;0;84;84
1007;248;0;83;83
1008;248;0;81;83
1009;248;0;81;83
1010;248;0;83;82
1011;248;0;86;82
1012;248;0;80;82
1013;248;0;78;82
1014;248;0;80;82
1015;248;0;85;82
1016;248;0;83;83
1017;248;0;82;83
1018;248;0;83;83
1019;248;0;86;83
1020;248;0;86;83
1021;248;0;87;83
1022;248;0;85;83
1023;248;0;86;83
1024;248;0;85;83
1025;248;0;85;83
1026;248;0;85;83
1027;248;0;82;83
1028;248;0;83;83
1029;248;0;85;83
1030;248;0;89;83
1031;248;0;90;82
1032;248;0;92;82
1033;248;0;92;82
1034;248;0;90;81
1035;248;0;88;81
1036;248;0;86;81
1037;248;0;86;81
1038;248;0;89;81
1039;248;0;94;81
1040;248;0;95;81
1041;248;0;96;82
1042;248;0;97;82
1043;248;0;99;82
1044;248;0;98;81
1045;248;0;98;81
1046;248;0;97;80
1047;248;0;95;80
1048;248;0;92;80
1049;248;0;91;80
1050;248;0;90;81
1051;248;0;91;81
1052;248;0;91;82
1053;248;0;94;83
1054;248;0;93;83
1055;248;0;93;82
1056;248;0;90;82
1057;248;0;88;82
1058;248;0;89;82
1059;248;0;91;82
1060;248;0;93;82
1061;248;0;94;82
1062;248;0;95;82
1063;248;0;97;82
1064;248;0;96;82
1065;248;0;96;83
1066;248;0;94;82
1067;248;0;92;82
1068;248;0;91;82
1069;248;0;94;82
1070;248;0;95;82
1071;248;0;94;83
1072;248;0;89;82
1073;248;0;85;81
1074;248;0;83;80
1075;248;0;87;79
1076;248;0;90;77
1077;248;0;92;76
1078;248;0;94;74
1079;248;0;96;73
1080;248;0;97;72
1081;248;0;97;72
1082;248;0;95;73
1083;248;0;95;73
1084;248;0;93;74
1085;248;0;93;75
1086;248;0;93;76
1087;248;0;94;77
1088;248;0;95;77
1089;248;0;96;77
1090;248;0;96;78
1091;248;0;97;78
1092;248;0;97;79
1093;248;0;101;79
1094;248;0;104;80
1095;248;0;105;80
1096;248;0;105;80
1097;248;0;106;81
1098;248;0;105;82
1099;248;0;105;82
1100;248;0;105;83
1101;248;0;107;83
1102;248;0;108;84
1103;248;0;108;84
1104;248;0;107;84
1105;248;0;108;84
1106;248;0;108;84
1107;248;0;99;84
1108;248;0;90;84
1109;248;0;85;82
1110;248;0;85;82
1111;248;0;85;81
1112;248;0;84;81
1113;248;0;83;81
1114;248;0;83;81
1115;248;0;83;80
1116;248;0;83;80
1117;248;0;83;79
1118;248;0;84;79
1119;248;0;84;78
1120;248;0;84;78
1121;248;0;84;77
1122;248;0;84;76
1123;248;0;84;75
1124;248;0;84;74
1125;248;0;83;75
1126;248;0;83;74
1127;248;0;82;74
1128;248;0;83;73
1129;248;0;82;73
1130;248;0;83;72
1131;248;0;83;73
1132;248;0;84;72
1133;248;0;84;70
1134;248;0;85;75
1135;248;0;84;80
1136;248;0;85;84
1137;248;0;84;89
1138;248;0;84;93
1139;248;0;83;98
1140;248;0;83;103
1141;248;0;82;107
1142;248;0;82;107
1143;248;0;81;107
1144;248;0;81;106
1145;248;0;81;106
1146;248;0;83;106
1147;248;0;83;106
1148;248;0;84;106
1149;248;0;84;106
1150;248;0;84;106
1151;248;0;83;106
1152;248;0;83;106
1153;248;0;83;106
1154;248;0;83;106
1155;248;0;82;106
1156;248;0;82;105
1157;248;0;82;106
1158;248;0;82;106
1159;248;0;82;106
1160;248;0;83;106
1161;248;0;82;105
1162;248;0;82;105
1163;248;0;81;105
1164;248;0;81;105
1165;248;0;81;104
1166;248;0;81;104
1167;248;0;80;103
1168;248;0;80;103
1169;248;0;80;103
1170;248;0;80;103
1171;248;0;80;103
1172;248;0;80;102
1173;248;0;79;102
1174;248;0;79;101
1175;248;0;80;102
1176;248;0;80;102
1177;248;0;81;102
1178;248;0;80;102
1179;248;0;81;102
1180;248;0;81;102
1181;248;0;81;103
1182;248;0;80;102
1183;248;0;78;101
1184;248;0;76;99
1185;248;0;73;98
1186;248;0;78;96
1187;248;0;85;94
1188;248;0;85;92
1189;248;0;84;89
1190;248;0;85;88
1191;248;0;88;87
1192;248;0;91;88
1193;248;0;91;87
1194;248;0;92;87
1195;248;0;92;88
1196;248;0;94;89
1197;248;0;94;91
1198;248;0;91;91
1199;248;0;90;92
1200;248;0;91;92
1201;248;0;93;93
1202;248;0;94;93
1203;248;0;94;93
1204;248;0;94;93
1205;248;0;95;94
1206;248;0;97;95
1207;248;0;99;95
1208;248;0;100;96
1209;248;0;100;97
1210;248;0;100;97
1211;248;0;99;98
1212;248;0;97;98
1213;248;0;97;98
1214;248;0;96;98
1215;248;0;96;98
1216;248;0;96;97
1217;248;0;96;97
1218;248;0;95;96
1219;248;0;96;96
1220;248;0;96;96
1221;248;0;98;97
1222;248;0;98;97
1223;248;0;98;97
1224;248;0;98;98
1225;248;0;98;98
1226;248;0;98;98
1227;248;0;98;98
1228;248;0;97;98
1229;248;0;98;98
1230;248;0;98;98
1231;248;0;99;98
1232;248;0;98;98
1233;248;0;98;98
1234;248;0;98;98
1235;248;0;98;98
1236;248;0;97;98
1237;248;0;98;98
1238;248;0;97;98
1239;248;0;97;98
1240;248;0;97;98
1241;248;0;98;98
1242;248;0;98;98
1243;248;0;98;97
1244;248;0;96;97
1245;248;0;96;97
1246;248;0;95;97
1247;248;0;95;97
1248;248;0;96;96
1249;248;0;96;96
1250;248;0;96;96
1251;248;0;96;96
1252;248;0;97;96
1253;248;0;98;97
1254;248;0;98;97
1255;248;0;98;97
1256;248;0;98;97
1257;248;0;97;98
1258;248;0;97;98
1259;248;0;97;97
1260;248;0;97;97
1261;248;0;96;97
1262;248;0;95;96
1263;248;0;95;96
1264;248;0;95;96
1265;248;0;95;95
1266;248;0;97;95
1267;248;0;96;95
1268;248;0;96;94
1269;248;0;95;95
1270;248;0;96;95
1271;248;0;96;95
1272;248;0;96;95
1273;248;0;95;95
1274;248;0;95;95
1275;248;0;94;95
1276;248;0;93;95
1277;248;0;93;94
1278;248;0;93;93
1279;248;0;94;93
1280;248;0;95;93
1281;248;0;96;93
1282;248;0;96;94
1283;248;0;97;94
1284;248;0;97;95
1285;248;0;97;95
1286;248;0;96;96
1287;248;0;96;96
1288;248;0;95;96
1289;248;0;95;95
1290;248;0;93;95
1291;248;0;92;94
1292;248;0;90;94
1293;248;0;91;93
1294;248;0;90;93
1295;248;0;92;93
1296;248;0;90;93
1297;248;0;92;93
1298;248;0;91;93
1299;248;0;93;94
1300;248;0;92;94
1301;248;0;93;94
1302;248;0;92;95
1303;248;0;93;95
1304;248;0;92;95
1305;248;0;93;94
1306;248;0;92;94
1307;248;0;93;94
1308;248;0;91;94
1309;248;0;92;94
1310;248;0;91;94
1311;248;0;92;94
1312;248;0;91;94
1313;248;0;92;94
1314;248;0;91;94
1315;248;0;93;94
1316;248;0;91;94
1317;248;0;93;94
1318;248;0;92;94
1319;248;0;93;94
1320;248;0;91;94
1321;248;0;92;94
1322;248;0;91;94
1323;248;0;92;94
1324;248;0;91;94
1325;248;0;92;94
1326;248;0;92;94
1327;248;0;93;94
1328;248;0;92;94
1329;248;0;93;94
1330;248;0;92;94
1331;248;0;93;94
1332;248;0;91;94
1333;248;0;92;93
1334;248;0;91;93
1335;248;0;93;93
1336;248;0;92;93
1337;248;0;93;93
1338;248;0;92;93
1339;248;0;93;93
1340;248;0;93;93
1341;248;0;93;93
1342;248;0;93;93
1343;248;0;93;93
1344;248;0;92;93
1345;248;0;93;93
1346;248;0;92;93
1347;248;0;93;93
1348;248;0;92;93
1349;248;0;93;93
1350;248;0;93;93
1351;248;0;93;93
1352;248;0;93;92
1353;248;0;93;92
1354;248;0;92;93
